gene,eigenvalue,phi1,phi2,r2,root_type,half_life,eigenperiod
Tyw3,0.247694,-0.041416,0.051094,0.002549,Real,0.4967,NA
Ubd,0.314831,0.052575,0.082566,0.009887,Real,0.5998,NA
Ubxn11,0.6092,0.322265,0.174801,0.165056,Real,1.3986,NA
Ulk2,0.284774,0.176003,0.030975,0.030913,Real,0.5518,NA
Uqcrc1,0.852324,0.526637,0.277591,0.484951,Real,4.3379,NA
Uso1,0.319566,0.486153,-0.053235,0.213651,Real,0.6076,NA
Usp26,0.864787,0.450204,0.358526,0.410659,Real,4.7714,NA
Usp40,0.362467,0.509124,-0.131382,0.209525,Complex,0.683,7.9316
Vmn2r88,0.914766,0.589332,0.297697,0.425911,Real,7.7806,NA
Wbp2nl,0.192644,0.038347,0.029724,0.001857,Real,0.4209,NA
Wdr62,0.316768,-0.02726,0.091707,-0.082423,Real,0.603,NA
Wfdc15a,0.889901,0.393681,0.441587,0.416169,Real,5.9424,NA
Wipi2,0.734858,0.639004,0.070439,0.390691,Real,2.2499,NA
Wrnip1,0.8724,0.769073,0.090142,0.706492,Real,5.0777,NA
Zfp358,0.277846,-0.001152,0.076878,0.005628,Real,0.5412,NA
Zfp39,0.426874,0.310448,-0.182222,0.10077,Complex,0.8143,5.2419
Zfp408,0.418232,0.003625,-0.174918,0.030479,Complex,0.7951,4.0111
Zfp608,0.49994,0.138999,0.180449,0.042816,Real,0.9998,NA
Zfp689,0.085807,0.104264,-0.001584,0.009425,Real,0.2823,NA
Zfp708,0.749743,0.518913,0.173063,0.366835,Real,2.4066,NA
Zfp709,0.374314,-0.005821,0.137932,0.019589,Real,0.7054,NA
Zfp773,0.266947,-0.123421,-0.071261,0.017967,Complex,0.5248,3.4828
Zic4,0.613417,0.360718,0.15501,0.188541,Real,1.4183,NA
Zkscan5,0.595746,0.420737,-0.354914,0.210191,Complex,1.3383,5.1932
